Player,Score,Week,Year,Position,
Arizona (Ari),7,1,2019,DEF,
Atlanta (Atl),0,1,2019,DEF,
Baltimore (Bal),13,1,2019,DEF,
Buffalo (Buf),10,1,2019,DEF,
Carolina (Car),4,1,2019,DEF,
Chicago (Chi),9,1,2019,DEF,
Cincinnati (Cin),6,1,2019,DEF,
Cleveland (Cle),0,1,2019,DEF,
Dallas (Dal),6,1,2019,DEF,
Denver (Den),0,1,2019,DEF,
Detroit (Det),7,1,2019,DEF,
Green Bay (GB),14,1,2019,DEF,
Houston (Hou),2,1,2019,DEF,
Indianapolis (Ind),7,1,2019,DEF,
Jacksonville (Jax),-4,1,2019,DEF,
Kansas City (KC),5,1,2019,DEF,
Los Angeles (LAC),2,1,2019,DEF,
Los Angeles (LAR),9,1,2019,DEF,
Miami (Mia),-3,1,2019,DEF,
Minnesota (Min),16,1,2019,DEF,
New England (NE),10,1,2019,DEF,
New Orleans (NO),7,1,2019,DEF,
New York (NYG),-4,1,2019,DEF,
New York (NYJ),18,1,2019,DEF,
Oakland (Oak),4,1,2019,DEF,
Philadelphia (Phi),1,1,2019,DEF,
Pittsburgh (Pit),0,1,2019,DEF,
San Francisco (SF),27,1,2019,DEF,
Seattle (Sea),12,1,2019,DEF,
Tampa Bay (TB),12,1,2019,DEF,
Tennessee (Ten),23,1,2019,DEF,
Washington (Was),0,1,2019,DEF,
Arizona (Ari),2,2,2019,DEF,
Atlanta (Atl),10,2,2019,DEF,
Baltimore (Bal),4,2,2019,DEF,
Buffalo (Buf),6,2,2019,DEF,
Carolina (Car),6,2,2019,DEF,
Chicago (Chi),5,2,2019,DEF,
Cincinnati (Cin),-2,2,2019,DEF,
Cleveland (Cle),13,2,2019,DEF,
Dallas (Dal),1,2,2019,DEF,
Denver (Den),1,2,2019,DEF,
Detroit (Det),9,2,2019,DEF,
Green Bay (GB),10,2,2019,DEF,
Houston (Hou),10,2,2019,DEF,
Indianapolis (Ind),5,2,2019,DEF,
Jacksonville (Jax),8,2,2019,DEF,
Kansas City (KC),11,2,2019,DEF,
Los Angeles (LAC),8,2,2019,DEF,
Los Angeles (LAR),8,2,2019,DEF,
Miami (Mia),3,2,2019,DEF,
Minnesota (Min),6,2,2019,DEF,
New England (NE),37,2,2019,DEF,
New Orleans (NO),5,2,2019,DEF,
New York (NYG),2,2,2019,DEF,
New York (NYJ),5,2,2019,DEF,
Oakland (Oak),3,2,2019,DEF,
Philadelphia (Phi),7,2,2019,DEF,
Pittsburgh (Pit),7,2,2019,DEF,
San Francisco (SF),7,2,2019,DEF,
Seattle (Sea),3,2,2019,DEF,
Tampa Bay (TB),9,2,2019,DEF,
Tennessee (Ten),8,2,2019,DEF,
Washington (Was),2,2,2019,DEF,
Arizona (Ari),0,3,2019,DEF,
Atlanta (Atl),1,3,2019,DEF,
Baltimore (Bal),0,3,2019,DEF,
Buffalo (Buf),11,3,2019,DEF,
Carolina (Car),13,3,2019,DEF,
Chicago (Chi),21,3,2019,DEF,
Cincinnati (Cin),5,3,2019,DEF,
Cleveland (Cle),9,3,2019,DEF,
Dallas (Dal),12,3,2019,DEF,
Denver (Den),0,3,2019,DEF,
Detroit (Det),13,3,2019,DEF,
Green Bay (GB),13,3,2019,DEF,
Houston (Hou),8,3,2019,DEF,
Indianapolis (Ind),2,3,2019,DEF,
Jacksonville (Jax),15,3,2019,DEF,
Kansas City (KC),2,3,2019,DEF,
Los Angeles (LAC),4,3,2019,DEF,
Los Angeles (LAR),9,3,2019,DEF,
Miami (Mia),2,3,2019,DEF,
Minnesota (Min),7,3,2019,DEF,
New England (NE),14,3,2019,DEF,
New Orleans (NO),14,3,2019,DEF,
New York (NYG),5,3,2019,DEF,
New York (NYJ),16,3,2019,DEF,
Oakland (Oak),-1,3,2019,DEF,
Philadelphia (Phi),2,3,2019,DEF,
Pittsburgh (Pit),11,3,2019,DEF,
San Francisco (SF),7,3,2019,DEF,
Seattle (Sea),2,3,2019,DEF,
Tampa Bay (TB),8,3,2019,DEF,
Tennessee (Ten),1,3,2019,DEF,
Washington (Was),5,3,2019,DEF,
Arizona (Ari),4,4,2019,DEF,
Atlanta (Atl),0,4,2019,DEF,
Baltimore (Bal),-1,4,2019,DEF,
Buffalo (Buf),3,4,2019,DEF,
Carolina (Car),14,4,2019,DEF,
Chicago (Chi),17,4,2019,DEF,
Cincinnati (Cin),2,4,2019,DEF,
Cleveland (Cle),10,4,2019,DEF,
Dallas (Dal),11,4,2019,DEF,
Denver (Den),5,4,2019,DEF,
Detroit (Det),7,4,2019,DEF,
Green Bay (GB),-1,4,2019,DEF,
Houston (Hou),10,4,2019,DEF,
Indianapolis (Ind),3,4,2019,DEF,
Jacksonville (Jax),2,4,2019,DEF,
Kansas City (KC),13,4,2019,DEF,
Los Angeles (LAC),11,4,2019,DEF,
Los Angeles (LAR),6,4,2019,DEF,
Miami (Mia),0,4,2019,DEF,
Minnesota (Min),2,4,2019,DEF,
New England (NE),25,4,2019,DEF,
New Orleans (NO),11,4,2019,DEF,
New York (NYG),24,4,2019,DEF,
New York (NYJ),,4,2019,DEF,
Oakland (Oak),10,4,2019,DEF,
Philadelphia (Phi),5,4,2019,DEF,
Pittsburgh (Pit),19,4,2019,DEF,
San Francisco (SF),,4,2019,DEF,
Seattle (Sea),16,4,2019,DEF,
Tampa Bay (TB),15,4,2019,DEF,
Tennessee (Ten),11,4,2019,DEF,
Washington (Was),9,4,2019,DEF,
Arizona (Ari),1,5,2019,DEF,
Atlanta (Atl),-2,5,2019,DEF,
Baltimore (Bal),5,5,2019,DEF,
Buffalo (Buf),11,5,2019,DEF,
Carolina (Car),14,5,2019,DEF,
Chicago (Chi),4,5,2019,DEF,
Cincinnati (Cin),1,5,2019,DEF,
Cleveland (Cle),3,5,2019,DEF,
Dallas (Dal),1,5,2019,DEF,
Denver (Den),10,5,2019,DEF,
Detroit (Det),,5,2019,DEF,
Green Bay (GB),9,5,2019,DEF,
Houston (Hou),9,5,2019,DEF,
Indianapolis (Ind),10,5,2019,DEF,
Jacksonville (Jax),4,5,2019,DEF,
Kansas City (KC),3,5,2019,DEF,
Los Angeles (LAC),14,5,2019,DEF,
Los Angeles (LAR),2,5,2019,DEF,
Miami (Mia),,5,2019,DEF,
Minnesota (Min),12,5,2019,DEF,
New England (NE),14,5,2019,DEF,
New Orleans (NO),6,5,2019,DEF,
New York (NYG),5,5,2019,DEF,
New York (NYJ),4,5,2019,DEF,
Oakland (Oak),8,5,2019,DEF,
Philadelphia (Phi),35,5,2019,DEF,
Pittsburgh (Pit),11,5,2019,DEF,
San Francisco (SF),19,5,2019,DEF,
Seattle (Sea),3,5,2019,DEF,
Tampa Bay (TB),1,5,2019,DEF,
Tennessee (Ten),7,5,2019,DEF,
Washington (Was),5,5,2019,DEF,
Arizona (Ari),1,6,2019,DEF,
Atlanta (Atl),-1,6,2019,DEF,
Baltimore (Bal),5,6,2019,DEF,
Buffalo (Buf),,6,2019,DEF,
Carolina (Car),21,6,2019,DEF,
Chicago (Chi),,6,2019,DEF,
Cincinnati (Cin),9,6,2019,DEF,
Cleveland (Cle),4,6,2019,DEF,
Dallas (Dal),4,6,2019,DEF,
Denver (Den),23,6,2019,DEF,
Detroit (Det),7,6,2019,DEF,
Green Bay (GB),3,6,2019,DEF,
Houston (Hou),5,6,2019,DEF,
Indianapolis (Ind),,6,2019,DEF,
Jacksonville (Jax),7,6,2019,DEF,
Kansas City (KC),5,6,2019,DEF,
Los Angeles (LAC),3,6,2019,DEF,
Los Angeles (LAR),7,6,2019,DEF,
Miami (Mia),1,6,2019,DEF,
Minnesota (Min),9,6,2019,DEF,
New England (NE),27,6,2019,DEF,
New Orleans (NO),11,6,2019,DEF,
New York (NYG),12,6,2019,DEF,
New York (NYJ),1,6,2019,DEF,
Oakland (Oak),,6,2019,DEF,
Philadelphia (Phi),1,6,2019,DEF,
Pittsburgh (Pit),14,6,2019,DEF,
San Francisco (SF),10,6,2019,DEF,
Seattle (Sea),9,6,2019,DEF,
Tampa Bay (TB),0,6,2019,DEF,
Tennessee (Ten),4,6,2019,DEF,
Washington (Was),10,6,2019,DEF,
Arizona (Ari),14,7,2019,DEF,
Atlanta (Atl),-1,7,2019,DEF,
Baltimore (Bal),18,7,2019,DEF,
Buffalo (Buf),11,7,2019,DEF,
Carolina (Car),,7,2019,DEF,
Chicago (Chi),6,7,2019,DEF,
Cincinnati (Cin),2,7,2019,DEF,
Cleveland (Cle),,7,2019,DEF,
Dallas (Dal),15,7,2019,DEF,
Denver (Den),1,7,2019,DEF,
Detroit (Det),-4,7,2019,DEF,
Green Bay (GB),2,7,2019,DEF,
Houston (Hou),2,7,2019,DEF,
Indianapolis (Ind),9,7,2019,DEF,
Jacksonville (Jax),17,7,2019,DEF,
Kansas City (KC),24,7,2019,DEF,
Los Angeles (LAC),4,7,2019,DEF,
Los Angeles (LAR),21,7,2019,DEF,
Miami (Mia),1,7,2019,DEF,
Minnesota (Min),3,7,2019,DEF,
New England (NE),25,7,2019,DEF,
New Orleans (NO),10,7,2019,DEF,
New York (NYG),10,7,2019,DEF,
New York (NYJ),1,7,2019,DEF,
Oakland (Oak),-3,7,2019,DEF,
Philadelphia (Phi),1,7,2019,DEF,
Pittsburgh (Pit),,7,2019,DEF,
San Francisco (SF),15,7,2019,DEF,
Seattle (Sea),2,7,2019,DEF,
Tampa Bay (TB),,7,2019,DEF,
Tennessee (Ten),4,7,2019,DEF,
Washington (Was),8,7,2019,DEF,
Arizona (Ari),1,8,2019,DEF,
Atlanta (Atl),2,8,2019,DEF,
Baltimore (Bal),,8,2019,DEF,
Buffalo (Buf),4,8,2019,DEF,
Carolina (Car),3,8,2019,DEF,
Chicago (Chi),4,8,2019,DEF,
Cincinnati (Cin),0,8,2019,DEF,
Cleveland (Cle),5,8,2019,DEF,
Dallas (Dal),,8,2019,DEF,
Denver (Den),7,8,2019,DEF,
Detroit (Det),11,8,2019,DEF,
Green Bay (GB),4,8,2019,DEF,
Houston (Hou),0,8,2019,DEF,
Indianapolis (Ind),7,8,2019,DEF,
Jacksonville (Jax),15,8,2019,DEF,
Kansas City (KC),4,8,2019,DEF,
Los Angeles (LAC),9,8,2019,DEF,
Los Angeles (LAR),9,8,2019,DEF,
Miami (Mia),4,8,2019,DEF,
Minnesota (Min),12,8,2019,DEF,
New England (NE),21,8,2019,DEF,
New Orleans (NO),8,8,2019,DEF,
New York (NYG),8,8,2019,DEF,
New York (NYJ),3,8,2019,DEF,
Oakland (Oak),3,8,2019,DEF,
Philadelphia (Phi),10,8,2019,DEF,
Pittsburgh (Pit),13,8,2019,DEF,
San Francisco (SF),17,8,2019,DEF,
Seattle (Sea),9,8,2019,DEF,
Tampa Bay (TB),5,8,2019,DEF,
Tennessee (Ten),11,8,2019,DEF,
Washington (Was),6,8,2019,DEF,
Arizona (Ari),0,9,2019,DEF,
Atlanta (Atl),,9,2019,DEF,
Baltimore (Bal),13,9,2019,DEF,
Buffalo (Buf),8,9,2019,DEF,
Carolina (Car),11,9,2019,DEF,
Chicago (Chi),4,9,2019,DEF,
Cincinnati (Cin),,9,2019,DEF,
Cleveland (Cle),5,9,2019,DEF,
Dallas (Dal),18,9,2019,DEF,
Denver (Den),3,9,2019,DEF,
Detroit (Det),0,9,2019,DEF,
Green Bay (GB),2,9,2019,DEF,
Houston (Hou),19,9,2019,DEF,
Indianapolis (Ind),8,9,2019,DEF,
Jacksonville (Jax),5,9,2019,DEF,
Kansas City (KC),1,9,2019,DEF,
Los Angeles (LAC),7,9,2019,DEF,
Los Angeles (LAR),,9,2019,DEF,
Miami (Mia),8,9,2019,DEF,
Minnesota (Min),7,9,2019,DEF,
New England (NE),4,9,2019,DEF,
New Orleans (NO),,9,2019,DEF,
New York (NYG),3,9,2019,DEF,
New York (NYJ),6,9,2019,DEF,
Oakland (Oak),6,9,2019,DEF,
Philadelphia (Phi),6,9,2019,DEF,
Pittsburgh (Pit),19,9,2019,DEF,
San Francisco (SF),3,9,2019,DEF,
Seattle (Sea),3,9,2019,DEF,
Tampa Bay (TB),1,9,2019,DEF,
Tennessee (Ten),4,9,2019,DEF,
Washington (Was),2,9,2019,DEF,
Arizona (Ari),9,10,2019,DEF,
Atlanta (Atl),10,10,2019,DEF,
Baltimore (Bal),24,10,2019,DEF,
Buffalo (Buf),5,10,2019,DEF,
Carolina (Car),2,10,2019,DEF,
Chicago (Chi),8,10,2019,DEF,
Cincinnati (Cin),-1,10,2019,DEF,
Cleveland (Cle),2,10,2019,DEF,
Dallas (Dal),0,10,2019,DEF,
Denver (Den),,10,2019,DEF,
Detroit (Det),6,10,2019,DEF,
Green Bay (GB),8,10,2019,DEF,
Houston (Hou),,10,2019,DEF,
Indianapolis (Ind),8,10,2019,DEF,
Jacksonville (Jax),,10,2019,DEF,
Kansas City (KC),5,10,2019,DEF,
Los Angeles (LAC),4,10,2019,DEF,
Los Angeles (LAR),19,10,2019,DEF,
Miami (Mia),11,10,2019,DEF,
Minnesota (Min),3,10,2019,DEF,
New England (NE),,10,2019,DEF,
New Orleans (NO),3,10,2019,DEF,
New York (NYG),1,10,2019,DEF,
New York (NYJ),16,10,2019,DEF,
Oakland (Oak),17,10,2019,DEF,
Philadelphia (Phi),,10,2019,DEF,
Pittsburgh (Pit),25,10,2019,DEF,
San Francisco (SF),19,10,2019,DEF,
Seattle (Sea),18,10,2019,DEF,
Tampa Bay (TB),6,10,2019,DEF,
Tennessee (Ten),11,10,2019,DEF,
Washington (Was),,10,2019,DEF,
Arizona (Ari),5,11,2019,DEF,
Atlanta (Atl),26,11,2019,DEF,
Baltimore (Bal),15,11,2019,DEF,
Buffalo (Buf),10,11,2019,DEF,
Carolina (Car),2,11,2019,DEF,
Chicago (Chi),5,11,2019,DEF,
Cincinnati (Cin),8,11,2019,DEF,
Cleveland (Cle),16,11,2019,DEF,
Dallas (Dal),3,11,2019,DEF,
Denver (Den),9,11,2019,DEF,
Detroit (Det),-1,11,2019,DEF,
Green Bay (GB),,11,2019,DEF,
Houston (Hou),-4,11,2019,DEF,
Indianapolis (Ind),8,11,2019,DEF,
Jacksonville (Jax),6,11,2019,DEF,
Kansas City (KC),11,11,2019,DEF,
Los Angeles (LAC),3,11,2019,DEF,
Los Angeles (LAR),9,11,2019,DEF,
Miami (Mia),2,11,2019,DEF,
Minnesota (Min),4,11,2019,DEF,
New England (NE),11,11,2019,DEF,
New Orleans (NO),17,11,2019,DEF,
New York (NYG),,11,2019,DEF,
New York (NYJ),9,11,2019,DEF,
Oakland (Oak),13,11,2019,DEF,
Philadelphia (Phi),2,11,2019,DEF,
Pittsburgh (Pit),1,11,2019,DEF,
San Francisco (SF),14,11,2019,DEF,
Seattle (Sea),,11,2019,DEF,
Tampa Bay (TB),0,11,2019,DEF,
Tennessee (Ten),,11,2019,DEF,
Washington (Was),5,11,2019,DEF,
Arizona (Ari),,12,2019,DEF,
Atlanta (Atl),3,12,2019,DEF,
Baltimore (Bal),13,12,2019,DEF,
Buffalo (Buf),13,12,2019,DEF,
Carolina (Car),3,12,2019,DEF,
Chicago (Chi),4,12,2019,DEF,
Cincinnati (Cin),6,12,2019,DEF,
Cleveland (Cle),8,12,2019,DEF,
Dallas (Dal),6,12,2019,DEF,
Denver (Den),4,12,2019,DEF,
Detroit (Det),8,12,2019,DEF,
Green Bay (GB),-1,12,2019,DEF,
Houston (Hou),2,12,2019,DEF,
Indianapolis (Ind),4,12,2019,DEF,
Jacksonville (Jax),1,12,2019,DEF,
Kansas City (KC),,12,2019,DEF,
Los Angeles (LAC),,12,2019,DEF,
Los Angeles (LAR),-1,12,2019,DEF,
Miami (Mia),-1,12,2019,DEF,
Minnesota (Min),,12,2019,DEF,
New England (NE),8,12,2019,DEF,
New Orleans (NO),5,12,2019,DEF,
New York (NYG),7,12,2019,DEF,
New York (NYJ),18,12,2019,DEF,
Oakland (Oak),2,12,2019,DEF,
Philadelphia (Phi),11,12,2019,DEF,
Pittsburgh (Pit),12,12,2019,DEF,
San Francisco (SF),11,12,2019,DEF,
Seattle (Sea),17,12,2019,DEF,
Tampa Bay (TB),16,12,2019,DEF,
Tennessee (Ten),6,12,2019,DEF,
Washington (Was),21,12,2019,DEF,
Arizona (Ari),0,13,2019,DEF,
Atlanta (Atl),0,13,2019,DEF,
Baltimore (Bal),7,13,2019,DEF,
Buffalo (Buf),11,13,2019,DEF,
Carolina (Car),6,13,2019,DEF,
Chicago (Chi),5,13,2019,DEF,
Cincinnati (Cin),13,13,2019,DEF,
Cleveland (Cle),4,13,2019,DEF,
Dallas (Dal),4,13,2019,DEF,
Denver (Den),8,13,2019,DEF,
Detroit (Det),3,13,2019,DEF,
Green Bay (GB),10,13,2019,DEF,
Houston (Hou),5,13,2019,DEF,
Indianapolis (Ind),9,13,2019,DEF,
Jacksonville (Jax),6,13,2019,DEF,
Kansas City (KC),20,13,2019,DEF,
Los Angeles (LAC),2,13,2019,DEF,
Los Angeles (LAR),18,13,2019,DEF,
Miami (Mia),3,13,2019,DEF,
Minnesota (Min),8,13,2019,DEF,
New England (NE),2,13,2019,DEF,
New Orleans (NO),16,13,2019,DEF,
New York (NYG),-1,13,2019,DEF,
New York (NYJ),2,13,2019,DEF,
Oakland (Oak),0,13,2019,DEF,
Philadelphia (Phi),1,13,2019,DEF,
Pittsburgh (Pit),13,13,2019,DEF,
San Francisco (SF),4,13,2019,DEF,
Seattle (Sea),6,13,2019,DEF,
Tampa Bay (TB),23,13,2019,DEF,
Tennessee (Ten),20,13,2019,DEF,
Washington (Was),11,13,2019,DEF,
Arizona (Ari),7,14,2019,DEF,
Atlanta (Atl),12,14,2019,DEF,
Baltimore (Bal),9,14,2019,DEF,
Buffalo (Buf),3,14,2019,DEF,
Carolina (Car),-3,14,2019,DEF,
Chicago (Chi),2,14,2019,DEF,
Cincinnati (Cin),5,14,2019,DEF,
Cleveland (Cle),11,14,2019,DEF,
Dallas (Dal),5,14,2019,DEF,
Denver (Den),15,14,2019,DEF,
Detroit (Det),2,14,2019,DEF,
Green Bay (GB),7,14,2019,DEF,
Houston (Hou),2,14,2019,DEF,
Indianapolis (Ind),11,14,2019,DEF,
Jacksonville (Jax),-3,14,2019,DEF,
Kansas City (KC),8,14,2019,DEF,
Los Angeles (LAC),6,14,2019,DEF,
Los Angeles (LAR),14,14,2019,DEF,
Miami (Mia),3,14,2019,DEF,
Minnesota (Min),13,14,2019,DEF,
New England (NE),7,14,2019,DEF,
New Orleans (NO),1,14,2019,DEF,
New York (NYG),5,14,2019,DEF,
New York (NYJ),4,14,2019,DEF,
Oakland (Oak),-2,14,2019,DEF,
Philadelphia (Phi),3,14,2019,DEF,
Pittsburgh (Pit),18,14,2019,DEF,
San Francisco (SF),-2,14,2019,DEF,
Seattle (Sea),11,14,2019,DEF,
Tampa Bay (TB),2,14,2019,DEF,
Tennessee (Ten),10,14,2019,DEF,
Washington (Was),7,14,2019,DEF,
Arizona (Ari),5,15,2019,DEF,
Atlanta (Atl),11,15,2019,DEF,
Baltimore (Bal),7,15,2019,DEF,
Buffalo (Buf),18,15,2019,DEF,
Carolina (Car),3,15,2019,DEF,
Chicago (Chi),1,15,2019,DEF,
Cincinnati (Cin),1,15,2019,DEF,
Cleveland (Cle),-2,15,2019,DEF,
Dallas (Dal),4,15,2019,DEF,
Denver (Den),5,15,2019,DEF,
Detroit (Det),3,15,2019,DEF,
Green Bay (GB),13,15,2019,DEF,
Houston (Hou),6,15,2019,DEF,
Indianapolis (Ind),-1,15,2019,DEF,
Jacksonville (Jax),5,15,2019,DEF,
Kansas City (KC),11,15,2019,DEF,
Los Angeles (LAC),1,15,2019,DEF,
Los Angeles (LAR),-4,15,2019,DEF,
Miami (Mia),6,15,2019,DEF,
Minnesota (Min),27,15,2019,DEF,
New England (NE),20,15,2019,DEF,
New Orleans (NO),5,15,2019,DEF,
New York (NYG),8,15,2019,DEF,
New York (NYJ),5,15,2019,DEF,
Oakland (Oak),3,15,2019,DEF,
Philadelphia (Phi),9,15,2019,DEF,
Pittsburgh (Pit),6,15,2019,DEF,
San Francisco (SF),4,15,2019,DEF,
Seattle (Sea),7,15,2019,DEF,
Tampa Bay (TB),15,15,2019,DEF,
Tennessee (Ten),5,15,2019,DEF,
Washington (Was),3,15,2019,DEF,
Arizona (Ari),11,16,2019,DEF,
Atlanta (Atl),9,16,2019,DEF,
Baltimore (Bal),4,16,2019,DEF,
Buffalo (Buf),2,16,2019,DEF,
Carolina (Car),-1,16,2019,DEF,
Chicago (Chi),1,16,2019,DEF,
Cincinnati (Cin),0,16,2019,DEF,
Cleveland (Cle),1,16,2019,DEF,
Dallas (Dal),2,16,2019,DEF,
Denver (Den),5,16,2019,DEF,
Detroit (Det),6,16,2019,DEF,
Green Bay (GB),11,16,2019,DEF,
Houston (Hou),22,16,2019,DEF,
Indianapolis (Ind),30,16,2019,DEF,
Jacksonville (Jax),5,16,2019,DEF,
Kansas City (KC),10,16,2019,DEF,
Los Angeles (LAC),3,16,2019,DEF,
Los Angeles (LAR),9,16,2019,DEF,
Miami (Mia),2,16,2019,DEF,
Minnesota (Min),9,16,2019,DEF,
New England (NE),5,16,2019,DEF,
New Orleans (NO),6,16,2019,DEF,
New York (NYG),-1,16,2019,DEF,
New York (NYJ),12,16,2019,DEF,
Oakland (Oak),2,16,2019,DEF,
Philadelphia (Phi),8,16,2019,DEF,
Pittsburgh (Pit),5,16,2019,DEF,
San Francisco (SF),7,16,2019,DEF,
Seattle (Sea),4,16,2019,DEF,
Tampa Bay (TB),10,16,2019,DEF,
Tennessee (Ten),-1,16,2019,DEF,
Washington (Was),-1,16,2019,DEF,
Arizona (Ari),0,17,2019,DEF,
Atlanta (Atl),14,17,2019,DEF,
Baltimore (Bal),18,17,2019,DEF,
Buffalo (Buf),8,17,2019,DEF,
Carolina (Car),-3,17,2019,DEF,
Chicago (Chi),9,17,2019,DEF,
Cincinnati (Cin),12,17,2019,DEF,
Cleveland (Cle),2,17,2019,DEF,
Dallas (Dal),7,17,2019,DEF,
Denver (Den),5,17,2019,DEF,
Detroit (Det),3,17,2019,DEF,
Green Bay (GB),4,17,2019,DEF,
Houston (Hou),-4,17,2019,DEF,
Indianapolis (Ind),4,17,2019,DEF,
Jacksonville (Jax),14,17,2019,DEF,
Kansas City (KC),13,17,2019,DEF,
Los Angeles (LAC),1,17,2019,DEF,
Los Angeles (LAR),11,17,2019,DEF,
Miami (Mia),11,17,2019,DEF,
Minnesota (Min),7,17,2019,DEF,
New England (NE),2,17,2019,DEF,
New Orleans (NO),18,17,2019,DEF,
New York (NYG),0,17,2019,DEF,
New York (NYJ),14,17,2019,DEF,
Oakland (Oak),5,17,2019,DEF,
Philadelphia (Phi),9,17,2019,DEF,
Pittsburgh (Pit),8,17,2019,DEF,
San Francisco (SF),1,17,2019,DEF,
Seattle (Sea),2,17,2019,DEF,
Tampa Bay (TB),14,17,2019,DEF,
Tennessee (Ten),7,17,2019,DEF,
