Player,Score,Week,Year,Position,
Washington (Was),5,17,2017,DEF,
Arizona (Ari),6,1,2016,DEF,
Atlanta (Atl),1,1,2016,DEF,
Baltimore (Bal),6,1,2016,DEF,
Buffalo (Buf),10,1,2016,DEF,
Carolina (Car),8,1,2016,DEF,
Chicago (Chi),4,1,2016,DEF,
Cincinnati (Cin),5,1,2016,DEF,
Cleveland (Cle),2,1,2016,DEF,
Dallas (Dal),5,1,2016,DEF,
Denver (Den),6,1,2016,DEF,
Detroit (Det),0,1,2016,DEF,
Green Bay (GB),5,1,2016,DEF,
Houston (Hou),8,1,2016,DEF,
Indianapolis (Ind),-3,1,2016,DEF,
Jacksonville (Jax),1,1,2016,DEF,
Kansas City (KC),1,1,2016,DEF,
Los Angeles (LAC),4,1,2016,DEF,
Los Angeles (LAR),1,1,2016,DEF,
Miami (Mia),13,1,2016,DEF,
Minnesota (Min),21,1,2016,DEF,
New England (NE),3,1,2016,DEF,
New Orleans (NO),-4,1,2016,DEF,
New York (NYG),1,1,2016,DEF,
New York (NYJ),9,1,2016,DEF,
Oakland (Oak),2,1,2016,DEF,
Philadelphia (Phi),11,1,2016,DEF,
Pittsburgh (Pit),5,1,2016,DEF,
San Francisco (SF),16,1,2016,DEF,
Seattle (Sea),11,1,2016,DEF,
Tampa Bay (TB),3,1,2016,DEF,
Tennessee (Ten),4,1,2016,DEF,
Washington (Was),-1,1,2016,DEF,
Arizona (Ari),23,2,2016,DEF,
Atlanta (Atl),0,2,2016,DEF,
Baltimore (Bal),12,2,2016,DEF,
Buffalo (Buf),5,2,2016,DEF,
Carolina (Car),14,2,2016,DEF,
Chicago (Chi),7,2,2016,DEF,
Cincinnati (Cin),5,2,2016,DEF,
Cleveland (Cle),4,2,2016,DEF,
Dallas (Dal),4,2,2016,DEF,
Denver (Den),22,2,2016,DEF,
Detroit (Det),8,2,2016,DEF,
Green Bay (GB),7,2,2016,DEF,
Houston (Hou),16,2,2016,DEF,
Indianapolis (Ind),3,2,2016,DEF,
Jacksonville (Jax),1,2,2016,DEF,
Kansas City (KC),7,2,2016,DEF,
Los Angeles (LAC),9,2,2016,DEF,
Los Angeles (LAR),13,2,2016,DEF,
Miami (Mia),3,2,2016,DEF,
Minnesota (Min),12,2,2016,DEF,
New England (NE),8,2,2016,DEF,
New Orleans (NO),9,2,2016,DEF,
New York (NYG),14,2,2016,DEF,
New York (NYJ),2,2,2016,DEF,
Oakland (Oak),-1,2,2016,DEF,
Philadelphia (Phi),10,2,2016,DEF,
Pittsburgh (Pit),6,2,2016,DEF,
San Francisco (SF),7,2,2016,DEF,
Seattle (Sea),7,2,2016,DEF,
Tampa Bay (TB),0,2,2016,DEF,
Tennessee (Ten),10,2,2016,DEF,
Washington (Was),6,2,2016,DEF,
Arizona (Ari),8,3,2016,DEF,
Atlanta (Atl),11,3,2016,DEF,
Baltimore (Bal),13,3,2016,DEF,
Buffalo (Buf),22,3,2016,DEF,
Carolina (Car),3,3,2016,DEF,
Chicago (Chi),1,3,2016,DEF,
Cincinnati (Cin),5,3,2016,DEF,
Cleveland (Cle),12,3,2016,DEF,
Dallas (Dal),6,3,2016,DEF,
Denver (Den),9,3,2016,DEF,
Detroit (Det),1,3,2016,DEF,
Green Bay (GB),5,3,2016,DEF,
Houston (Hou),1,3,2016,DEF,
Indianapolis (Ind),11,3,2016,DEF,
Jacksonville (Jax),9,3,2016,DEF,
Kansas City (KC),35,3,2016,DEF,
Los Angeles (LAC),12,3,2016,DEF,
Los Angeles (LAR),12,3,2016,DEF,
Miami (Mia),7,3,2016,DEF,
Minnesota (Min),26,3,2016,DEF,
New England (NE),18,3,2016,DEF,
New Orleans (NO),-2,3,2016,DEF,
New York (NYG),3,3,2016,DEF,
New York (NYJ),6,3,2016,DEF,
Oakland (Oak),11,3,2016,DEF,
Philadelphia (Phi),17,3,2016,DEF,
Pittsburgh (Pit),-1,3,2016,DEF,
San Francisco (SF),2,3,2016,DEF,
Seattle (Sea),3,3,2016,DEF,
Tampa Bay (TB),10,3,2016,DEF,
Tennessee (Ten),4,3,2016,DEF,
Washington (Was),8,3,2016,DEF,
Arizona (Ari),5,4,2016,DEF,
Atlanta (Atl),11,4,2016,DEF,
Baltimore (Bal),1,4,2016,DEF,
Buffalo (Buf),15,4,2016,DEF,
Carolina (Car),7,4,2016,DEF,
Chicago (Chi),7,4,2016,DEF,
Cincinnati (Cin),13,4,2016,DEF,
Cleveland (Cle),4,4,2016,DEF,
Dallas (Dal),4,4,2016,DEF,
Denver (Den),15,4,2016,DEF,
Detroit (Det),9,4,2016,DEF,
Green Bay (GB),,4,2016,DEF,
Houston (Hou),10,4,2016,DEF,
Indianapolis (Ind),2,4,2016,DEF,
Jacksonville (Jax),8,4,2016,DEF,
Kansas City (KC),-2,4,2016,DEF,
Los Angeles (LAC),2,4,2016,DEF,
Los Angeles (LAR),17,4,2016,DEF,
Miami (Mia),1,4,2016,DEF,
Minnesota (Min),8,4,2016,DEF,
New England (NE),3,4,2016,DEF,
New Orleans (NO),8,4,2016,DEF,
New York (NYG),0,4,2016,DEF,
New York (NYJ),2,4,2016,DEF,
Oakland (Oak),4,4,2016,DEF,
Philadelphia (Phi),,4,2016,DEF,
Pittsburgh (Pit),9,4,2016,DEF,
San Francisco (SF),2,4,2016,DEF,
Seattle (Sea),11,4,2016,DEF,
Tampa Bay (TB),4,4,2016,DEF,
Tennessee (Ten),5,4,2016,DEF,
Washington (Was),8,4,2016,DEF,
Arizona (Ari),15,5,2016,DEF,
Atlanta (Atl),9,5,2016,DEF,
Baltimore (Bal),6,5,2016,DEF,
Buffalo (Buf),17,5,2016,DEF,
Carolina (Car),3,5,2016,DEF,
Chicago (Chi),4,5,2016,DEF,
Cincinnati (Cin),2,5,2016,DEF,
Cleveland (Cle),0,5,2016,DEF,
Dallas (Dal),5,5,2016,DEF,
Denver (Den),4,5,2016,DEF,
Detroit (Det),7,5,2016,DEF,
Green Bay (GB),7,5,2016,DEF,
Houston (Hou),1,5,2016,DEF,
Indianapolis (Ind),2,5,2016,DEF,
Jacksonville (Jax),,5,2016,DEF,
Kansas City (KC),,5,2016,DEF,
Los Angeles (LAC),4,5,2016,DEF,
Los Angeles (LAR),4,5,2016,DEF,
Miami (Mia),7,5,2016,DEF,
Minnesota (Min),16,5,2016,DEF,
New England (NE),10,5,2016,DEF,
New Orleans (NO),,5,2016,DEF,
New York (NYG),4,5,2016,DEF,
New York (NYJ),2,5,2016,DEF,
Oakland (Oak),9,5,2016,DEF,
Philadelphia (Phi),6,5,2016,DEF,
Pittsburgh (Pit),7,5,2016,DEF,
San Francisco (SF),0,5,2016,DEF,
Seattle (Sea),,5,2016,DEF,
Tampa Bay (TB),9,5,2016,DEF,
Tennessee (Ten),11,5,2016,DEF,
Washington (Was),13,5,2016,DEF,
Arizona (Ari),12,6,2016,DEF,
Atlanta (Atl),1,6,2016,DEF,
Baltimore (Bal),7,6,2016,DEF,
Buffalo (Buf),6,6,2016,DEF,
Carolina (Car),-1,6,2016,DEF,
Chicago (Chi),7,6,2016,DEF,
Cincinnati (Cin),2,6,2016,DEF,
Cleveland (Cle),3,6,2016,DEF,
Dallas (Dal),10,6,2016,DEF,
Denver (Den),7,6,2016,DEF,
Detroit (Det),2,6,2016,DEF,
Green Bay (GB),5,6,2016,DEF,
Houston (Hou),5,6,2016,DEF,
Indianapolis (Ind),3,6,2016,DEF,
Jacksonville (Jax),2,6,2016,DEF,
Kansas City (KC),10,6,2016,DEF,
Los Angeles (LAC),12,6,2016,DEF,
Los Angeles (LAR),0,6,2016,DEF,
Miami (Mia),7,6,2016,DEF,
Minnesota (Min),,6,2016,DEF,
New England (NE),5,6,2016,DEF,
New Orleans (NO),2,6,2016,DEF,
New York (NYG),2,6,2016,DEF,
New York (NYJ),-1,6,2016,DEF,
Oakland (Oak),1,6,2016,DEF,
Philadelphia (Phi),14,6,2016,DEF,
Pittsburgh (Pit),1,6,2016,DEF,
San Francisco (SF),3,6,2016,DEF,
Seattle (Sea),8,6,2016,DEF,
Tampa Bay (TB),,6,2016,DEF,
Tennessee (Ten),6,6,2016,DEF,
Washington (Was),6,6,2016,DEF,
Arizona (Ari),8,7,2016,DEF,
Atlanta (Atl),13,7,2016,DEF,
Baltimore (Bal),17,7,2016,DEF,
Buffalo (Buf),0,7,2016,DEF,
Carolina (Car),,7,2016,DEF,
Chicago (Chi),12,7,2016,DEF,
Cincinnati (Cin),7,7,2016,DEF,
Cleveland (Cle),4,7,2016,DEF,
Dallas (Dal),,7,2016,DEF,
Denver (Den),9,7,2016,DEF,
Detroit (Det),7,7,2016,DEF,
Green Bay (GB),12,7,2016,DEF,
Houston (Hou),0,7,2016,DEF,
Indianapolis (Ind),11,7,2016,DEF,
Jacksonville (Jax),-1,7,2016,DEF,
Kansas City (KC),11,7,2016,DEF,
Los Angeles (LAC),5,7,2016,DEF,
Los Angeles (LAR),6,7,2016,DEF,
Miami (Mia),4,7,2016,DEF,
Minnesota (Min),8,7,2016,DEF,
New England (NE),3,7,2016,DEF,
New Orleans (NO),0,7,2016,DEF,
New York (NYG),21,7,2016,DEF,
New York (NYJ),12,7,2016,DEF,
Oakland (Oak),8,7,2016,DEF,
Philadelphia (Phi),24,7,2016,DEF,
Pittsburgh (Pit),4,7,2016,DEF,
San Francisco (SF),3,7,2016,DEF,
Seattle (Sea),15,7,2016,DEF,
Tampa Bay (TB),11,7,2016,DEF,
Tennessee (Ten),1,7,2016,DEF,
Washington (Was),4,7,2016,DEF,
Arizona (Ari),3,8,2016,DEF,
Atlanta (Atl),2,8,2016,DEF,
Baltimore (Bal),,8,2016,DEF,
Buffalo (Buf),1,8,2016,DEF,
Carolina (Car),19,8,2016,DEF,
Chicago (Chi),9,8,2016,DEF,
Cincinnati (Cin),3,8,2016,DEF,
Cleveland (Cle),1,8,2016,DEF,
Dallas (Dal),5,8,2016,DEF,
Denver (Den),22,8,2016,DEF,
Detroit (Det),6,8,2016,DEF,
Green Bay (GB),1,8,2016,DEF,
Houston (Hou),5,8,2016,DEF,
Indianapolis (Ind),2,8,2016,DEF,
Jacksonville (Jax),-4,8,2016,DEF,
Kansas City (KC),11,8,2016,DEF,
Los Angeles (LAC),13,8,2016,DEF,
Los Angeles (LAR),,8,2016,DEF,
Miami (Mia),,8,2016,DEF,
Minnesota (Min),2,8,2016,DEF,
New England (NE),2,8,2016,DEF,
New Orleans (NO),4,8,2016,DEF,
New York (NYG),,8,2016,DEF,
New York (NYJ),4,8,2016,DEF,
Oakland (Oak),2,8,2016,DEF,
Philadelphia (Phi),3,8,2016,DEF,
Pittsburgh (Pit),,8,2016,DEF,
San Francisco (SF),,8,2016,DEF,
Seattle (Sea),10,8,2016,DEF,
Tampa Bay (TB),3,8,2016,DEF,
Tennessee (Ten),4,8,2016,DEF,
Washington (Was),7,8,2016,DEF,
Arizona (Ari),,9,2016,DEF,
Atlanta (Atl),6,9,2016,DEF,
Baltimore (Bal),13,9,2016,DEF,
Buffalo (Buf),5,9,2016,DEF,
Carolina (Car),10,9,2016,DEF,
Chicago (Chi),,9,2016,DEF,
Cincinnati (Cin),,9,2016,DEF,
Cleveland (Cle),-4,9,2016,DEF,
Dallas (Dal),8,9,2016,DEF,
Denver (Den),1,9,2016,DEF,
Detroit (Det),5,9,2016,DEF,
Green Bay (GB),5,9,2016,DEF,
Houston (Hou),,9,2016,DEF,
Indianapolis (Ind),11,9,2016,DEF,
Jacksonville (Jax),3,9,2016,DEF,
Kansas City (KC),11,9,2016,DEF,
Los Angeles (LAC),14,9,2016,DEF,
Los Angeles (LAR),9,9,2016,DEF,
Miami (Mia),13,9,2016,DEF,
Minnesota (Min),3,9,2016,DEF,
New England (NE),,9,2016,DEF,
New Orleans (NO),9,9,2016,DEF,
New York (NYG),8,9,2016,DEF,
New York (NYJ),1,9,2016,DEF,
Oakland (Oak),7,9,2016,DEF,
Philadelphia (Phi),4,9,2016,DEF,
Pittsburgh (Pit),5,9,2016,DEF,
San Francisco (SF),-3,9,2016,DEF,
Seattle (Sea),7,9,2016,DEF,
Tampa Bay (TB),0,9,2016,DEF,
Tennessee (Ten),0,9,2016,DEF,
Washington (Was),,9,2016,DEF,
Arizona (Ari),6,10,2016,DEF,
Atlanta (Atl),4,10,2016,DEF,
Baltimore (Bal),14,10,2016,DEF,
Buffalo (Buf),,10,2016,DEF,
Carolina (Car),6,10,2016,DEF,
Chicago (Chi),5,10,2016,DEF,
Cincinnati (Cin),5,10,2016,DEF,
Cleveland (Cle),5,10,2016,DEF,
Dallas (Dal),0,10,2016,DEF,
Denver (Den),11,10,2016,DEF,
Detroit (Det),,10,2016,DEF,
Green Bay (GB),-3,10,2016,DEF,
Houston (Hou),12,10,2016,DEF,
Indianapolis (Ind),,10,2016,DEF,
Jacksonville (Jax),2,10,2016,DEF,
Kansas City (KC),13,10,2016,DEF,
Los Angeles (LAC),3,10,2016,DEF,
Los Angeles (LAR),10,10,2016,DEF,
Miami (Mia),17,10,2016,DEF,
Minnesota (Min),3,10,2016,DEF,
New England (NE),2,10,2016,DEF,
New Orleans (NO),10,10,2016,DEF,
New York (NYG),6,10,2016,DEF,
New York (NYJ),7,10,2016,DEF,
Oakland (Oak),,10,2016,DEF,
Philadelphia (Phi),5,10,2016,DEF,
Pittsburgh (Pit),0,10,2016,DEF,
San Francisco (SF),10,10,2016,DEF,
Seattle (Sea),6,10,2016,DEF,
Tampa Bay (TB),24,10,2016,DEF,
Tennessee (Ten),11,10,2016,DEF,
Washington (Was),6,10,2016,DEF,
Arizona (Ari),4,11,2016,DEF,
Atlanta (Atl),,11,2016,DEF,
Baltimore (Bal),1,11,2016,DEF,
Buffalo (Buf),9,11,2016,DEF,
Carolina (Car),10,11,2016,DEF,
Chicago (Chi),0,11,2016,DEF,
Cincinnati (Cin),5,11,2016,DEF,
Cleveland (Cle),1,11,2016,DEF,
Dallas (Dal),2,11,2016,DEF,
Denver (Den),,11,2016,DEF,
Detroit (Det),19,11,2016,DEF,
Green Bay (GB),-2,11,2016,DEF,
Houston (Hou),2,11,2016,DEF,
Indianapolis (Ind),6,11,2016,DEF,
Jacksonville (Jax),8,11,2016,DEF,
Kansas City (KC),4,11,2016,DEF,
Los Angeles (LAC),,11,2016,DEF,
Los Angeles (LAR),7,11,2016,DEF,
Miami (Mia),7,11,2016,DEF,
Minnesota (Min),20,11,2016,DEF,
New England (NE),6,11,2016,DEF,
New Orleans (NO),2,11,2016,DEF,
New York (NYG),7,11,2016,DEF,
New York (NYJ),,11,2016,DEF,
Oakland (Oak),7,11,2016,DEF,
Philadelphia (Phi),1,11,2016,DEF,
Pittsburgh (Pit),22,11,2016,DEF,
San Francisco (SF),0,11,2016,DEF,
Seattle (Sea),7,11,2016,DEF,
Tampa Bay (TB),5,11,2016,DEF,
Tennessee (Ten),4,11,2016,DEF,
Washington (Was),6,11,2016,DEF,
Arizona (Ari),1,12,2016,DEF,
Atlanta (Atl),5,12,2016,DEF,
Baltimore (Bal),11,12,2016,DEF,
Buffalo (Buf),2,12,2016,DEF,
Carolina (Car),5,12,2016,DEF,
Chicago (Chi),0,12,2016,DEF,
Cincinnati (Cin),7,12,2016,DEF,
Cleveland (Cle),3,12,2016,DEF,
Dallas (Dal),0,12,2016,DEF,
Denver (Den),5,12,2016,DEF,
Detroit (Det),6,12,2016,DEF,
Green Bay (GB),10,12,2016,DEF,
Houston (Hou),3,12,2016,DEF,
Indianapolis (Ind),-1,12,2016,DEF,
Jacksonville (Jax),4,12,2016,DEF,
Kansas City (KC),15,12,2016,DEF,
Los Angeles (LAC),13,12,2016,DEF,
Los Angeles (LAR),0,12,2016,DEF,
Miami (Mia),6,12,2016,DEF,
Minnesota (Min),3,12,2016,DEF,
New England (NE),8,12,2016,DEF,
New Orleans (NO),7,12,2016,DEF,
New York (NYG),23,12,2016,DEF,
New York (NYJ),0,12,2016,DEF,
Oakland (Oak),11,12,2016,DEF,
Philadelphia (Phi),0,12,2016,DEF,
Pittsburgh (Pit),11,12,2016,DEF,
San Francisco (SF),1,12,2016,DEF,
Seattle (Sea),7,12,2016,DEF,
Tampa Bay (TB),19,12,2016,DEF,
Tennessee (Ten),4,12,2016,DEF,
Washington (Was),0,12,2016,DEF,
Arizona (Ari),6,13,2016,DEF,
Atlanta (Atl),3,13,2016,DEF,
Baltimore (Bal),15,13,2016,DEF,
Buffalo (Buf),-4,13,2016,DEF,
Carolina (Car),1,13,2016,DEF,
Chicago (Chi),15,13,2016,DEF,
Cincinnati (Cin),8,13,2016,DEF,
Cleveland (Cle),,13,2016,DEF,
Dallas (Dal),6,13,2016,DEF,
Denver (Den),17,13,2016,DEF,
Detroit (Det),11,13,2016,DEF,
Green Bay (GB),8,13,2016,DEF,
Houston (Hou),3,13,2016,DEF,
Indianapolis (Ind),11,13,2016,DEF,
Jacksonville (Jax),3,13,2016,DEF,
Kansas City (KC),11,13,2016,DEF,
Los Angeles (LAC),3,13,2016,DEF,
Los Angeles (LAR),0,13,2016,DEF,
Miami (Mia),0,13,2016,DEF,
Minnesota (Min),8,13,2016,DEF,
New England (NE),12,13,2016,DEF,
New Orleans (NO),1,13,2016,DEF,
New York (NYG),6,13,2016,DEF,
New York (NYJ),-3,13,2016,DEF,
Oakland (Oak),8,13,2016,DEF,
Philadelphia (Phi),3,13,2016,DEF,
Pittsburgh (Pit),9,13,2016,DEF,
San Francisco (SF),3,13,2016,DEF,
Seattle (Sea),8,13,2016,DEF,
Tampa Bay (TB),12,13,2016,DEF,
Tennessee (Ten),,13,2016,DEF,
Washington (Was),1,13,2016,DEF,
Arizona (Ari),7,14,2016,DEF,
Atlanta (Atl),26,14,2016,DEF,
Baltimore (Bal),6,14,2016,DEF,
Buffalo (Buf),6,14,2016,DEF,
Carolina (Car),18,14,2016,DEF,
Chicago (Chi),14,14,2016,DEF,
Cincinnati (Cin),9,14,2016,DEF,
Cleveland (Cle),4,14,2016,DEF,
Dallas (Dal),13,14,2016,DEF,
Denver (Den),6,14,2016,DEF,
Detroit (Det),5,14,2016,DEF,
Green Bay (GB),19,14,2016,DEF,
Houston (Hou),8,14,2016,DEF,
Indianapolis (Ind),4,14,2016,DEF,
Jacksonville (Jax),2,14,2016,DEF,
Kansas City (KC),11,14,2016,DEF,
Los Angeles (LAC),4,14,2016,DEF,
Los Angeles (LAR),1,14,2016,DEF,
Miami (Mia),13,14,2016,DEF,
Minnesota (Min),7,14,2016,DEF,
New England (NE),8,14,2016,DEF,
New Orleans (NO),5,14,2016,DEF,
New York (NYG),13,14,2016,DEF,
New York (NYJ),3,14,2016,DEF,
Oakland (Oak),7,14,2016,DEF,
Philadelphia (Phi),10,14,2016,DEF,
Pittsburgh (Pit),8,14,2016,DEF,
San Francisco (SF),8,14,2016,DEF,
Seattle (Sea),-3,14,2016,DEF,
Tampa Bay (TB),11,14,2016,DEF,
Tennessee (Ten),11,14,2016,DEF,
Washington (Was),9,14,2016,DEF,
Arizona (Ari),7,15,2016,DEF,
Atlanta (Atl),8,15,2016,DEF,
Baltimore (Bal),3,15,2016,DEF,
Buffalo (Buf),9,15,2016,DEF,
Carolina (Car),8,15,2016,DEF,
Chicago (Chi),3,15,2016,DEF,
Cincinnati (Cin),1,15,2016,DEF,
Cleveland (Cle),0,15,2016,DEF,
Dallas (Dal),13,15,2016,DEF,
Denver (Den),3,15,2016,DEF,
Detroit (Det),3,15,2016,DEF,
Green Bay (GB),9,15,2016,DEF,
Houston (Hou),7,15,2016,DEF,
Indianapolis (Ind),18,15,2016,DEF,
Jacksonville (Jax),11,15,2016,DEF,
Kansas City (KC),8,15,2016,DEF,
Los Angeles (LAC),7,15,2016,DEF,
Los Angeles (LAR),4,15,2016,DEF,
Miami (Mia),23,15,2016,DEF,
Minnesota (Min),-1,15,2016,DEF,
New England (NE),17,15,2016,DEF,
New Orleans (NO),1,15,2016,DEF,
New York (NYG),12,15,2016,DEF,
New York (NYJ),2,15,2016,DEF,
Oakland (Oak),8,15,2016,DEF,
Philadelphia (Phi),7,15,2016,DEF,
Pittsburgh (Pit),4,15,2016,DEF,
San Francisco (SF),-1,15,2016,DEF,
Seattle (Sea),11,15,2016,DEF,
Tampa Bay (TB),5,15,2016,DEF,
Tennessee (Ten),4,15,2016,DEF,
Washington (Was),2,15,2016,DEF,
Arizona (Ari),9,16,2016,DEF,
Atlanta (Atl),7,16,2016,DEF,
Baltimore (Bal),3,16,2016,DEF,
Buffalo (Buf),1,16,2016,DEF,
Carolina (Car),5,16,2016,DEF,
Chicago (Chi),-4,16,2016,DEF,
Cincinnati (Cin),8,16,2016,DEF,
Cleveland (Cle),5,16,2016,DEF,
Dallas (Dal),8,16,2016,DEF,
Denver (Den),1,16,2016,DEF,
Detroit (Det),-3,16,2016,DEF,
Green Bay (GB),8,16,2016,DEF,
Houston (Hou),9,16,2016,DEF,
Indianapolis (Ind),0,16,2016,DEF,
Jacksonville (Jax),12,16,2016,DEF,
Kansas City (KC),10,16,2016,DEF,
Los Angeles (LAC),10,16,2016,DEF,
Los Angeles (LAR),8,16,2016,DEF,
Miami (Mia),1,16,2016,DEF,
Minnesota (Min),0,16,2016,DEF,
New England (NE),17,16,2016,DEF,
New Orleans (NO),6,16,2016,DEF,
New York (NYG),3,16,2016,DEF,
New York (NYJ),-3,16,2016,DEF,
Oakland (Oak),6,16,2016,DEF,
Philadelphia (Phi),13,16,2016,DEF,
Pittsburgh (Pit),4,16,2016,DEF,
San Francisco (SF),8,16,2016,DEF,
Seattle (Sea),2,16,2016,DEF,
Tampa Bay (TB),1,16,2016,DEF,
Tennessee (Ten),3,16,2016,DEF,
Washington (Was),13,16,2016,DEF,
Arizona (Ari),26,17,2016,DEF,
Atlanta (Atl),3,17,2016,DEF,
Baltimore (Bal),1,17,2016,DEF,
Buffalo (Buf),1,17,2016,DEF,
Carolina (Car),13,17,2016,DEF,
Chicago (Chi),1,17,2016,DEF,
Cincinnati (Cin),11,17,2016,DEF,
Cleveland (Cle),6,17,2016,DEF,
Dallas (Dal),2,17,2016,DEF,
Denver (Den),15,17,2016,DEF,
Detroit (Det),0,17,2016,DEF,
Green Bay (GB),4,17,2016,DEF,
Houston (Hou),7,17,2016,DEF,
Indianapolis (Ind),7,17,2016,DEF,
Jacksonville (Jax),8,17,2016,DEF,
Kansas City (KC),10,17,2016,DEF,
Los Angeles (LAC),5,17,2016,DEF,
Los Angeles (LAR),3,17,2016,DEF,
Miami (Mia),-4,17,2016,DEF,
Minnesota (Min),22,17,2016,DEF,
New England (NE),5,17,2016,DEF,
New Orleans (NO),-3,17,2016,DEF,
New York (NYG),20,17,2016,DEF,
New York (NYJ),19,17,2016,DEF,
Oakland (Oak),2,17,2016,DEF,
Philadelphia (Phi),13,17,2016,DEF,
Pittsburgh (Pit),12,17,2016,DEF,
San Francisco (SF),4,17,2016,DEF,
Seattle (Sea),9,17,2016,DEF,
Tampa Bay (TB),16,17,2016,DEF,
Tennessee (Ten),13,17,2016,DEF,
Washington (Was),5,17,2016,DEF,
