PickOfRound,Player,Manager_Team,Year
10,Charles Clay(Ari - TE),Wilfork on 1...,2016
11,Devin Funchess(Ind - WR),Thunder Horse,2016
12,Jordan Cameron(Mia - TE),Cheap Vodka,2016
1,Buffalo(Buf - DEF),Cheap Vodka,2016
2,Ryan Tannehill(Ten - QB),Thunder Horse,2016
3,Mohamed Sanu(NE - WR),Wilfork on 1...,2016
4,Pittsburgh(Pit - DEF),Ginger Kids,2016
5,Isaiah Crowell(Oak - RB),SUCK MY DITKA,2016
6,Chandler Catanzaro(NYJ - K),Team Zekeachu,2016
7,Dak Prescott(Dal - QB),Admiral Ackb...,2016
8,Connor Barth(Chi - K),Fuck Gronks ...,2016
9,Mike Wallace(Phi - WR),Jordy oz. to...,2016
10,Phillip Dorsett II(NE - WR),Show Me Your...,2016
11,Shayne Graham(Atl - K),Steelers SIX...,2016
12,Josh Doctson(Min - WR),Bell's Potslam,2016
1,Darren McFadden(Dal - RB),Bell's Potslam,2016
2,Martellus Bennett(NE - TE),Steelers SIX...,2016
3,Javorius Allen(NYG - RB),Show Me Your...,2016
4,Bilal Powell(NYJ - RB),Jordy oz. to...,2016
5,Joe Flacco(Den - QB),Fuck Gronks ...,2016
6,Tajae Sharpe(Ten - WR),Admiral Ackb...,2016
7,Cincinnati(Cin - DEF),Team Zekeachu,2016
8,Will Fuller V(Hou - WR),SUCK MY DITKA,2016
9,Chris Boswell(Pit - K),Ginger Kids,2016
10,Robbie Gould(SF - K),Wilfork on 1...,2016
11,Kyle Rudolph(Min - TE),Thunder Horse,2016
12,Cairo Santos(Ten - K),Cheap Vodka,2016
1,Andrew Luck(Ind - QB),The Derek Carrs,2015
2,Marshawn Lynch(Sea - RB),SUCK MY DITKA,2015
3,Jamaal Charles(KC - RB),Ginger Kids,2015
4,Adrian Peterson(Was - RB),Circle Joique,2015
5,Eddie Lacy(Sea - RB),Admiral Ackb...,2015
6,Rob Gronkowski(NE - TE),Cheap Vodka,2015
7,Aaron Rodgers(GB - QB),Slob on my Cobb,2015
8,Le'Veon Bell(NYJ - RB),The Bell Staff,2015
9,Russell Wilson(Sea - QB),WhamBamThank...,2015
10,Antonio Brown(NE - WR),Show Me Your...,2015
1,Calvin Johnson(Det - WR),Show Me Your...,2015
2,DeMarco Murray(Ten - RB),WhamBamThank...,2015
3,Dez Bryant(NO - WR),The Bell Staff,2015
4,Julio Jones(Atl - WR),Slob on my Cobb,2015
5,Matt Forte(NYJ - RB),Cheap Vodka,2015
6,A.J. Green(Cin - WR),Admiral Ackb...,2015
7,Odell Beckham Jr.(Cle - WR),Circle Joique,2015
8,Demaryius Thomas(NYJ - WR),Ginger Kids,2015
9,Jeremy Hill(NE - RB),SUCK MY DITKA,2015
10,T.Y. Hilton(Ind - WR),The Derek Carrs,2015
1,Jimmy Graham(GB - TE),The Derek Carrs,2015
2,Alshon Jeffery(Phi - WR),SUCK MY DITKA,2015
3,C.J. Anderson(Det - RB),Ginger Kids,2015
4,Justin Forsett(Den - RB),Circle Joique,2015
5,Peyton Manning(Den - QB),Admiral Ackb...,2015
6,Andre Johnson(Hou - WR),Cheap Vodka,2015
7,LeSean McCoy(KC - RB),Slob on my Cobb,2015
8,Alfred Morris(Ari - RB),The Bell Staff,2015
9,Mike Evans(TB - WR),WhamBamThank...,2015
10,Drew Brees(NO - QB),Show Me Your...,2015
1,Latavius Murray(NO - RB),Show Me Your...,2015
2,Jason Witten(Dal - TE),WhamBamThank...,2015
3,Matthew Stafford(Det - QB),The Bell Staff,2015
4,Randall Cobb(Dal - WR),Slob on my Cobb,2015
5,Frank Gore(Buf - RB),Cheap Vodka,2015
6,Amari Cooper(Dal - WR),Admiral Ackb...,2015
7,Jordan Matthews(SF - WR),Circle Joique,2015
8,DeAndre Hopkins(Hou - WR),Ginger Kids,2015
9,Brandin Cooks(LAR - WR),SUCK MY DITKA,2015
10,Melvin Gordon III(LAC - RB),The Derek Carrs,2015
1,DeSean Jackson(Phi - WR),The Derek Carrs,2015
2,Greg Olsen(Car - TE),SUCK MY DITKA,2015
3,Emmanuel Sanders(SF - WR),Ginger Kids,2015
4,Davante Adams(GB - WR),Circle Joique,2015
5,Joseph Randle(Dal - RB),Admiral Ackb...,2015
6,Ben Roethlisberger(Pit - QB),Cheap Vodka,2015
7,Lamar Miller(Hou - RB),Slob on my Cobb,2015
8,Golden Tate(NYG - WR),The Bell Staff,2015
9,Sammy Watkins(KC - WR),WhamBamThank...,2015
10,Mark Ingram II(Bal - RB),Show Me Your...,2015
1,Travis Kelce(KC - TE),Show Me Your...,2015
2,LeGarrette Blount(Det - RB),WhamBamThank...,2015
3,Larry Fitzgerald(Ari - WR),The Bell Staff,2015
4,Martellus Bennett(NE - TE),Slob on my Cobb,2015
5,Brandon Marshall(NO - WR),Cheap Vodka,2015
6,Vincent Jackson(TB - WR),Admiral Ackb...,2015
7,Matt Ryan(Atl - QB),Circle Joique,2015
8,Tony Romo(Dal - QB),Ginger Kids,2015
9,Tom Brady(NE - QB),SUCK MY DITKA,2015
10,Ameer Abdullah(Min - RB),The Derek Carrs,2015
1,Mike Wallace(Phi - WR),The Derek Carrs,2015
2,Julian Edelman(NE - WR),SUCK MY DITKA,2015
3,Jordan Cameron(Mia - TE),Ginger Kids,2015
4,Delanie Walker(Ten - TE),Circle Joique,2015
5,Tyler Eifert(Cin - TE),Admiral Ackb...,2015
6,Keenan Allen(LAC - WR),Cheap Vodka,2015
7,Jeremy Maclin(Bal - WR),Slob on my Cobb,2015
8,Vernon Davis(Was - TE),The Bell Staff,2015
9,Steve Smith Sr.(Bal - WR),WhamBamThank...,2015
10,Seattle(Sea - DEF),Show Me Your...,2015
1,Anquan Boldin(Buf - WR),Show Me Your...,2015
2,Eric Decker(NE - WR),WhamBamThank...,2015
3,Buffalo(Buf - DEF),The Bell Staff,2015
4,Stephen Gostkowski(NE - K),Slob on my Cobb,2015
5,Houston(Hou - DEF),Cheap Vodka,2015
6,T.J. Yeldon(Buf - RB),Admiral Ackb...,2015
7,Philadelphia(Phi - DEF),Circle Joique,2015
8,Los Angeles(LAR - DEF),Ginger Kids,2015
9,Carlos Hyde(Hou - RB),SUCK MY DITKA,2015
10,Doug Martin(Oak - RB),The Derek Carrs,2015
1,Adam Vinatieri(Ind - K),The Derek Carrs,2015
2,Jarvis Landry(Cle - WR),SUCK MY DITKA,2015
3,Dan Carpenter(Buf - K),Ginger Kids,2015
4,Dan Bailey(Min - K),Circle Joique,2015
5,Todd Gurley II(LAR - RB),Admiral Ackb...,2015
6,Stephen Hauschka(Buf - K),Cheap Vodka,2015
7,New England(NE - DEF),Slob on my Cobb,2015
8,Joique Bell(Det - RB),The Bell Staff,2015
9,Mason Crosby(GB - K),WhamBamThank...,2015
10,Andre Ellington(TB - RB),Show Me Your...,2015
1,Matt Prater(Det - K),Show Me Your...,2015
2,Cam Newton(Car - QB),WhamBamThank...,2015
3,Roddy White(Atl - WR),The Bell Staff,2015
4,Eli Manning(NYG - QB),Slob on my Cobb,2015
5,Jonathan Stewart(Car - RB),Cheap Vodka,2015
6,Devin Funchess(Ind - WR),Admiral Ackb...,2015
7,Chris Ivory(Buf - RB),Circle Joique,2015
8,C.J. Spiller(KC - RB),Ginger Kids,2015
9,Ryan Tannehill(Ten - QB),SUCK MY DITKA,2015
10,Pierre Garcon(SF - WR),The Derek Carrs,2015
1,Philip Rivers(LAC - QB),The Derek Carrs,2015
2,Giovani Bernard(Cin - RB),SUCK MY DITKA,2015
3,Allen Robinson II(Chi - WR),Ginger Kids,2015
4,Nelson Agholor(Phi - WR),Circle Joique,2015
5,Kansas City(KC - DEF),Admiral Ackb...,2015
6,John Brown(Buf - WR),Cheap Vodka,2015
7,Arian Foster(Mia - RB),Slob on my Cobb,2015
8,Marcus Mariota(Ten - QB),The Bell Staff,2015
9,Victor Cruz(Chi - WR),WhamBamThank...,2015
10,Sam Bradford(Ari - QB),Show Me Your...,2015
1,Charles Johnson(Phi - WR),Show Me Your...,2015
2,Antonio Gates(LAC - TE),WhamBamThank...,2015
3,Marques Colston(NO - WR),The Bell Staff,2015
4,Torrey Smith(Car - WR),Slob on my Cobb,2015
5,Eddie Royal(Chi - WR),Cheap Vodka,2015
6,Jameis Winston(TB - QB),Admiral Ackb...,2015
7,Martavis Bryant(Oak - WR),Circle Joique,2015
8,Teddy Bridgewater(NO - QB),Ginger Kids,2015
9,Michael Floyd(Bal - WR),SUCK MY DITKA,2015
10,Doug Baldwin(Sea - WR),The Derek Carrs,2015
1,Brian Quick(Was - WR),The Derek Carrs,2015
2,Stevie Johnson(LAC - WR),SUCK MY DITKA,2015
3,Julius Thomas(Mia - TE),Ginger Kids,2015
4,Zach Ertz(Phi - TE),Circle Joique,2015
5,Matt Bryant(Atl - K),Admiral Ackb...,2015
6,Colin Kaepernick(SF - QB),Cheap Vodka,2015
7,Owen Daniels(Den - TE),Slob on my Cobb,2015
8,Justin Tucker(Bal - K),The Bell Staff,2015
9,Shane Vereen(NO - RB),WhamBamThank...,2015
10,Terrance Williams(Dal - WR),Show Me Your...,2015
1,Rashad Jennings(NYG - RB),Show Me Your...,2015
2,Arizona(Ari - DEF),WhamBamThank...,2015
3,Kendall Wright(Ari - WR),The Bell Staff,2015
4,Markus Wheaton(Phi - WR),Slob on my Cobb,2015
5,Kyle Rudolph(Min - TE),Cheap Vodka,2015
6,Bishop Sankey(Min - RB),Admiral Ackb...,2015
7,Carson Palmer(Ari - QB),Circle Joique,2015
8,Brandon LaFell(Oak - WR),Ginger Kids,2015
9,Denver(Den - DEF),SUCK MY DITKA,2015
10,San Francisco(SF - DEF),The Derek Carrs,2015
1,Dwayne Allen(Mia - TE),The Derek Carrs,2015
2,Cody Parkey(Ten - K),SUCK MY DITKA,2015
3,Baltimore(Bal - DEF),Ginger Kids,2015
4,Green Bay(GB - DEF),Circle Joique,2015
5,Fred Jackson(Buf - RB),Admiral Ackb...,2015
6,Nick Folk(NE - K),Cheap Vodka,2015
7,Carolina(Car - DEF),Slob on my Cobb,2015
8,Austin Seferian-Jenkins(NE - TE),The Bell Staff,2015
9,Indianapolis(Ind - DEF),WhamBamThank...,2015
10,Tevin Coleman(SF - RB),Show Me Your...,2015
1,LeSean McCoy(KC - RB),SUCK MY DITKA,2014
2,Jamaal Charles(KC - RB),Cheap Vodka,2014
3,Matt Forte(NYJ - RB),Ginger Kids,2014
4,Adrian Peterson(Was - RB),The Taint Ti...,2014
5,Eddie Lacy(Sea - RB),Teach me how...,2014
6,Calvin Johnson(Det - WR),Admiral Ackb...,2014
7,Demaryius Thomas(NYJ - WR),Coolio Julio...,2014
8,Jimmy Graham(GB - TE),Circle Joique,2014
9,Dez Bryant(NO - WR),Punts with a C,2014
10,Montee Ball(NE - RB),The Strange ...,2014
1,A.J. Green(Cin - WR),The Strange ...,2014
2,Marshawn Lynch(Sea - RB),Punts with a C,2014
3,Brandon Marshall(NO - WR),Circle Joique,2014
4,Julio Jones(Atl - WR),Coolio Julio...,2014
5,DeMarco Murray(Ten - RB),Admiral Ackb...,2014
6,Andre Ellington(TB - RB),Teach me how...,2014
7,Peyton Manning(Den - QB),The Taint Ti...,2014
8,Jordy Nelson(Oak - WR),Ginger Kids,2014
9,Giovani Bernard(Cin - RB),Cheap Vodka,2014
10,Antonio Brown(NE - WR),SUCK MY DITKA,2014
1,Drew Brees(NO - QB),SUCK MY DITKA,2014
2,Aaron Rodgers(GB - QB),Cheap Vodka,2014
3,Doug Martin(Oak - RB),Ginger Kids,2014
4,Alshon Jeffery(Phi - WR),The Taint Ti...,2014
5,Keenan Allen(LAC - WR),Teach me how...,2014
6,Arian Foster(Mia - RB),Admiral Ackb...,2014
7,Alfred Morris(Ari - RB),Coolio Julio...,2014
8,Randall Cobb(Dal - WR),Circle Joique,2014
9,Zac Stacy(NYJ - RB),Punts with a C,2014
10,Roddy White(Atl - WR),The Strange ...,2014
1,Ryan Mathews(Phi - RB),The Strange ...,2014
2,Julius Thomas(Mia - TE),Punts with a C,2014
3,Toby Gerhart(Jax - RB),Circle Joique,2014
4,Rashad Jennings(NYG - RB),Coolio Julio...,2014
5,Vincent Jackson(TB - WR),Admiral Ackb...,2014
6,Victor Cruz(Chi - WR),Teach me how...,2014
7,Le'Veon Bell(NYJ - RB),The Taint Ti...,2014
8,Larry Fitzgerald(Ari - WR),Ginger Kids,2014
9,Andre Johnson(Hou - WR),Cheap Vodka,2014
10,Shane Vereen(NO - RB),SUCK MY DITKA,2014
1,Cordarrelle Patterson(Chi - WR),SUCK MY DITKA,2014
2,Michael Floyd(Bal - WR),Cheap Vodka,2014
3,Percy Harvin(Buf - WR),Ginger Kids,2014
4,Rob Gronkowski(NE - TE),The Taint Ti...,2014
5,Matt Ryan(Atl - QB),Teach me how...,2014
6,Michael Crabtree(Ari - WR),Admiral Ackb...,2014
7,Pierre Garcon(SF - WR),Coolio Julio...,2014
8,C.J. Spiller(KC - RB),Circle Joique,2014
9,DeSean Jackson(Phi - WR),Punts with a C,2014
10,Torrey Smith(Car - WR),The Strange ...,2014
1,Jordan Cameron(Mia - TE),The Strange ...,2014
2,Tom Brady(NE - QB),Punts with a C,2014
3,Matthew Stafford(Det - QB),Circle Joique,2014
4,Vernon Davis(Was - TE),Coolio Julio...,2014
5,Andrew Luck(Ind - QB),Admiral Ackb...,2014
6,Emmanuel Sanders(SF - WR),Teach me how...,2014
7,T.Y. Hilton(Ind - WR),The Taint Ti...,2014
8,Jay Cutler(Mia - QB),Ginger Kids,2014
9,Marques Colston(NO - WR),Cheap Vodka,2014
10,Mike Wallace(Phi - WR),SUCK MY DITKA,2014
1,Kyle Rudolph(Min - TE),SUCK MY DITKA,2014
2,Jason Witten(Dal - TE),Cheap Vodka,2014
3,Greg Olsen(Car - TE),Ginger Kids,2014
4,Jeremy Maclin(Bal - WR),The Taint Ti...,2014
5,Jordan Reed(Was - TE),Teach me how...,2014
6,Zach Ertz(Phi - TE),Admiral Ackb...,2014
7,Cam Newton(Car - QB),Coolio Julio...,2014
8,Eric Decker(NE - WR),Circle Joique,2014
9,Golden Tate(NYG - WR),Punts with a C,2014
10,Nick Foles(Jax - QB),The Strange ...,2014
1,Seattle(Sea - DEF),The Strange ...,2014
2,New England(NE - DEF),Punts with a C,2014
3,San Francisco(SF - DEF),Circle Joique,2014
4,Detroit(Det - DEF),Coolio Julio...,2014
5,Los Angeles(LAR - DEF),Admiral Ackb...,2014
6,Houston(Hou - DEF),Teach me how...,2014
7,Carolina(Car - DEF),The Taint Ti...,2014
8,Kansas City(KC - DEF),Ginger Kids,2014
9,Cincinnati(Cin - DEF),Cheap Vodka,2014
10,Stephen Gostkowski(NE - K),SUCK MY DITKA,2014
1,Arizona(Ari - DEF),SUCK MY DITKA,2014
2,Adam Vinatieri(Ind - K),Cheap Vodka,2014
3,Justin Tucker(Bal - K),Ginger Kids,2014
4,Phil Dawson(Cle - K),The Taint Ti...,2014
5,Stephen Hauschka(Buf - K),Teach me how...,2014
6,Mason Crosby(GB - K),Admiral Ackb...,2014
7,Dan Bailey(Min - K),Coolio Julio...,2014
8,Nick Novak(LAC - K),Circle Joique,2014
9,Dan Carpenter(Buf - K),Punts with a C,2014
10,Jay Feely(Chi - K),The Strange ...,2014
1,Reggie Bush(Buf - RB),The Strange ...,2014
2,Ben Tate(Pit - RB),Punts with a C,2014
3,Joique Bell(Det - RB),Circle Joique,2014
4,Frank Gore(Buf - RB),Coolio Julio...,2014
5,Chris Johnson(Ten - RB),Admiral Ackb...,2014
6,Julian Edelman(NE - WR),Teach me how...,2014
7,Terrance Williams(Dal - WR),The Taint Ti...,2014
8,Tony Romo(Dal - QB),Ginger Kids,2014
9,Bishop Sankey(Min - RB),Cheap Vodka,2014
10,Maurice Jones-Drew(Jax - RB),SUCK MY DITKA,2014
1,Brandin Cooks(LAR - WR),SUCK MY DITKA,2014
2,Robert Griffin III(Bal - QB),Cheap Vodka,2014
3,Ray Rice(Bal - RB),Ginger Kids,2014
4,Pierre Thomas(Was - RB),The Taint Ti...,2014
5,Fred Jackson(Buf - RB),Teach me how...,2014
6,Kendall Wright(Ari - WR),Admiral Ackb...,2014
7,Russell Wilson(Sea - QB),Coolio Julio...,2014
8,Colin Kaepernick(SF - QB),Circle Joique,2014
9,Reggie Wayne(NE - WR),Punts with a C,2014
10,Ben Roethlisberger(Pit - QB),The Strange ...,2014
1,Justin Hunter(Pit - WR),The Strange ...,2014
2,Rueben Randle(Chi - WR),Punts with a C,2014
3,Mike Evans(TB - WR),Circle Joique,2014
4,Sammy Watkins(KC - WR),Coolio Julio...,2014
5,Philip Rivers(LAC - QB),Admiral Ackb...,2014
6,DeAndre Hopkins(Hou - WR),Teach me how...,2014
7,Dennis Pitta(Bal - TE),The Taint Ti...,2014
8,Kelvin Benjamin(KC - WR),Ginger Kids,2014
9,Cecil Shorts III(TB - WR),Cheap Vodka,2014
10,Anquan Boldin(Buf - WR),SUCK MY DITKA,2014
1,Charles Clay(Ari - TE),SUCK MY DITKA,2014
2,Jarrett Boykin(Buf - WR),Cheap Vodka,2014
3,Dwayne Bowe(KC - WR),Ginger Kids,2014
4,Markus Wheaton(Phi - WR),The Taint Ti...,2014
5,Andy Dalton(Cin - QB),Teach me how...,2014
6,Riley Cooper(Phi - WR),Admiral Ackb...,2014
7,Brian Hartline(Cle - WR),Coolio Julio...,2014
8,Wes Welker(LAR - WR),Circle Joique,2014
9,Martellus Bennett(NE - TE),Punts with a C,2014
10,Hakeem Nicks(NO - WR),The Strange ...,2014
1,Heath Miller(Pit - TE),The Strange ...,2014
2,Ryan Tannehill(Ten - QB),Punts with a C,2014
3,Ladarius Green(Pit - TE),Circle Joique,2014
4,Travis Kelce(KC - TE),Coolio Julio...,2014
5,Antonio Gates(LAC - TE),Admiral Ackb...,2014
6,Tyler Eifert(Cin - TE),Teach me how...,2014
7,Carson Palmer(Ari - QB),The Taint Ti...,2014
8,Delanie Walker(Ten - TE),Ginger Kids,2014
9,Garrett Graham(Den - TE),Cheap Vodka,2014
10,Josh McCown(Phi - QB),SUCK MY DITKA,2014
1,Denver(Den - DEF),SUCK MY DITKA,2014
2,Chicago(Chi - DEF),Cheap Vodka,2014
3,Buffalo(Buf - DEF),Ginger Kids,2014
4,Indianapolis(Ind - DEF),The Taint Ti...,2014
5,Blair Walsh(Atl - K),Teach me how...,2014
6,Nick Folk(NE - K),Admiral Ackb...,2014
7,Shaun Suisham(Pit - K),Coolio Julio...,2014
8,Robbie Gould(SF - K),Circle Joique,2014
9,Baltimore(Bal - DEF),Punts with a C,2014
10,Graham Gano(Car - K),The Strange ...,2014